Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
1,University of OxfordUnited KingdomCoursesEnquireAdmissions Support,"19,718",10.9,35%,46:54:00
2,California Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,"2,181",6.7,27%,31 : 69
3,Stanford UniversityUnited StatesCoursesExplore,"15,658",7.7,22%,42:58:00
4,University of CambridgeUnited KingdomCoursesEnquireAdmissions Support,"18,605",11.3,35%,45:55:00
5,Massachusetts Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,"11,192",8.8,33%,37 : 63
6,Harvard UniversityUnited StatesCoursesEnquireAdmissions Support,"19,890",8.8,25%,n/a
7,Princeton UniversityUnited StatesCoursesEnquireAdmissions Support,"7,925",8.4,23%,45:55:00
8,Imperial College LondonUnited KingdomCoursesEnquireAdmissions Support,"15,236",11.3,52%,37 : 63
9,ETH ZurichSwitzerlandCourses,"18,616",14.9,37%,31 : 69
10,"University of California, BerkeleyUnited StatesCoursesEnquireAdmissions Support","34,834",12,16%,52:48:00
11,The University of ChicagoUnited StatesCoursesExplore,"13,486",6.2,24%,42:58:00
12,Yale UniversityUnited StatesCoursesEnquireAdmissions Support,"11,946",4.4,21%,49:51:00
13,University of PennsylvaniaUnited StatesCoursesEnquireAdmissions Support,"20,367",6.5,20%,51:49:00
14,"University of California, Los AngelesUnited StatesCoursesEnquireAdmissions Support","38,392",9.9,16%,53:47:00
15,UCLUnited KingdomCoursesEnquireAdmissions Support,"28,602",10.6,47%,56:44:00
16,Columbia UniversityUnited StatesCoursesEnquireAdmissions Support,"25,659",6,30%,n/a
17,Johns Hopkins UniversityUnited StatesCoursesEnquireAdmissions Support,"15,303",3.5,24%,51:49:00
18,Duke UniversityUnited StatesCoursesEnquireAdmissions Support,"15,204",4.8,17%,49:51:00
19,Cornell UniversityUnited StatesCoursesEnquireAdmissions Support,"21,593",9.9,19%,49:51:00
20,Northwestern UniversityUnited StatesCoursesEnquireAdmissions Support,"18,570",14,16%,48:52:00
21,University of Michigan-Ann ArborUnited StatesCoursesEnquireAdmissions Support,"41,912",8.8,16%,48:52:00
22,University of TorontoCanadaCoursesEnquireExplore,"68,093",18.8,16%,n/a
23,Carnegie Mellon UniversityUnited StatesCoursesEnquireAdmissions Support,"12,311",13.2,38%,38 : 62
24,National University of SingaporeSingaporeCoursesExplore,"31,111",16.7,32%,50:50:00
25,London School of Economics and Political ScienceUnited KingdomCoursesEnquireAdmissions Support,"9,401",11.8,70%,53:47:00
26,University of WashingtonUnited StatesCoursesEnquireAdmissions Support,"45,162",11.9,15%,53:47:00
27,University of EdinburghUnited KingdomCoursesEnquireAdmissions Support,"25,279",12.6,37%,59:41:00
28,Karolinska InstituteSwedenCoursesVerify Documents,"7,723",11.3,23%,69:31:00
29,Peking UniversityChinaCoursesExplore,"42,977",8.8,15%,48:52:00
30,LMU MunichGermanyCoursesExplore,"36,180",15.7,14%,61:39:00
31,École Polytechnique Fédérale de LausanneSwitzerlandCourses,"9,750",11.2,54%,27 : 73
32,New York UniversityUnited StatesCoursesEnquireAdmissions Support,"43,021",6.6,25%,55:45:00
33,Georgia Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,"19,847",19.8,26%,31 : 69
34,University of MelbourneAustraliaCoursesEnquire,"42,273",24.8,37%,55:45:00
35,Tsinghua UniversityChinaCoursesExplore,"41,537",14.1,10%,32 : 68
36,University of British ColumbiaCanadaCoursesEnquire,"51,889",18.2,29%,54:46:00
37,University of Illinois at Urbana-ChampaignUnited StatesCoursesEnquireAdmissions Support,"43,202",18.3,22%,46:54:00
38,King’s College LondonUnited KingdomCoursesAdmissions Support,"21,986",11.3,38%,61:39:00
39,The University of TokyoJapanCourses,"26,080",7,10%,n/a
40,KU LeuvenBelgiumCoursesExplore,"46,381",41.9,16%,49:51:00
41,"University of California, San DiegoUnited StatesCoursesEnquireAdmissions Support","28,416",6.6,14%,47:53:00
42,McGill UniversityCanadaCoursesEnquire,"30,911",13.5,24%,57:43:00
43,Heidelberg UniversityGermanyCourses,"29,527",24.9,17%,55:45:00
44,University of Hong KongHong KongCoursesExplore,"20,095",17.8,39%,51:49:00
45,University of Wisconsin-MadisonUnited StatesCoursesEnquireAdmissions Support,"40,048",11,12%,51:49:00
46,Technical University of MunichGermanyCoursesVerify Documents,"36,929",51.9,22%,33 : 67
47,Australian National UniversityAustraliaCoursesEnquire,"15,402",19.9,35%,52:48:00
48,"University of California, Santa BarbaraUnited StatesCoursesEnquireAdmissions Support","22,267",27.4,12%,51:49:00
49,The Hong Kong University of Science and TechnologyHong KongCoursesExplore,"11,960",27.3,38%,n/a
50,University of Texas at AustinUnited StatesCoursesEnquireAdmissions Support,"48,689",17.2,10%,51:49:00
51,Brown UniversityUnited StatesCoursesEnquireAdmissions Support,"8,694",10.2,20%,n/a
52,"University of California, DavisUnited StatesCoursesEnquireAdmissions Support","36,060",13.7,15%,55:45:00
53,University of MinnesotaUnited StatesCoursesEnquire,"46,625",17.5,13%,52:48:00
54,"Nanyang Technological University, SingaporeSingaporeCoursesExplore","25,278",16.1,32%,49:51:00
55,University of ManchesterUnited KingdomCoursesEnquireExplore,"34,015",14.4,36%,52:48:00
