Rank,NameCountry/Region,Overall,Teaching,Research,Citations,Industry Income,International Outlook
1,University of OxfordUnited KingdomCoursesEnquireAdmissions Support,94.3,86.7,99.5,99.1,63.7,95
2,University of CambridgeUnited KingdomCoursesEnquireAdmissions Support,93.2,87.8,97.8,97.5,51.5,93
3,California Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,93,90.3,97.5,99.5,92.6,59.7
4,Stanford UniversityUnited StatesCoursesExplore,93,89.1,96.7,99.9,60.5,77.6
5,Massachusetts Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,92.5,87.3,91.9,100,88.4,87.6
6,Harvard UniversityUnited StatesCoursesEnquireAdmissions Support,91.8,84.2,98.4,99.7,46.4,79.7
7,Princeton UniversityUnited StatesCoursesEnquireAdmissions Support,91.1,85.7,93.9,99.6,58,78.7
8,Imperial College LondonUnited KingdomCoursesEnquireAdmissions Support,89.2,81.7,88.7,96.7,71.6,96.6
9,The University of ChicagoUnited StatesCoursesExplore,88.6,85.3,90.1,99.4,39.8,69.6
10,ETH ZurichSwitzerlandCourses,87.7,76.4,92,94.3,60.3,98.1
11,University of PennsylvaniaUnited StatesCoursesEnquireAdmissions Support,87.7,83.7,90.1,98.5,56.9,61.3
12,Yale UniversityUnited StatesCoursesEnquireAdmissions Support,87.6,86.7,87,98.4,45.1,64.6
13,Johns Hopkins UniversityUnited StatesCoursesEnquireAdmissions Support,86.5,76.1,88.1,98.4,95.8,70.6
14,Columbia UniversityUnited StatesCoursesEnquireAdmissions Support,86,82.2,83.3,98.8,41.3,76.6
15,"University of California, Los AngelesUnited StatesCoursesEnquireAdmissions Support",85.7,80.7,88.1,97.9,48.6,59.5
16,UCLUnited KingdomCoursesEnquireAdmissions Support,85.3,74.4,88.2,94.6,41.2,94.6
17,Duke UniversityUnited StatesCoursesEnquireAdmissions Support,85.1,80.7,80.6,98.3,100,62.5
18,"University of California, BerkeleyUnited StatesCoursesEnquireAdmissions Support",84.3,77.4,84.5,99.8,37.5,64.5
19,Cornell UniversityUnited StatesCoursesEnquireAdmissions Support,84.2,76.2,86.6,97.6,34.6,69.2
20,Northwestern UniversityUnited StatesCoursesEnquireAdmissions Support,83.3,72.6,86.7,96.9,78.2,59.2
21,University of Michigan-Ann ArborUnited StatesCoursesEnquireAdmissions Support,83.1,77.2,86.3,95.7,46.2,55.8
22,National University of SingaporeSingaporeCoursesExplore,82.8,77.4,88.2,81.3,61.9,95.8
23,University of TorontoCanadaCoursesEnquireExplore,82.8,74.6,84.8,92.6,46.5,80.1
