Rank,NameCountry/Region,Overall,Teaching,Research,Citations,Industry Income,International Outlook
1,University of OxfordUnited KingdomCoursesEnquireAdmissions Support,95.6,91.3,99.6,98,68.7,96.4
2,Stanford UniversityUnited StatesCoursesExplore,94.9,92.2,96.7,99.9,90.1,79.5
3,Harvard UniversityUnited StatesCoursesEnquireAdmissions Support,94.8,94.4,98.8,99.4,46.8,77.7
4,California Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,94.5,92.5,96.9,97,92.7,83.6
5,Massachusetts Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,94.4,90.7,94.4,99.7,90.4,90
6,University of CambridgeUnited KingdomCoursesEnquireAdmissions Support,94,90.3,99.2,95.6,52.1,95.7
7,"University of California, BerkeleyUnited StatesCoursesEnquireAdmissions Support",92.2,85.8,97.2,99.1,84.3,72.3
8,Yale UniversityUnited StatesCoursesEnquireAdmissions Support,91.6,91.9,93.8,97.9,56.1,68.4
9,Princeton UniversityUnited StatesCoursesEnquireAdmissions Support,91.5,88.8,92.5,98.9,58,80.2
10,The University of ChicagoUnited StatesCoursesExplore,90.3,88.9,90.5,98.6,54.9,74
11,Imperial College LondonUnited KingdomCoursesEnquireAdmissions Support,89.4,82.3,88.2,97.2,69.6,97.4
12,Johns Hopkins UniversityUnited StatesCoursesEnquireAdmissions Support,89.2,81.6,91.8,97.7,93.4,73.9
13,University of PennsylvaniaUnited StatesCoursesEnquireAdmissions Support,88.9,85.4,89.9,98.1,77.9,66.3
14,ETH ZurichSwitzerlandCourses,87.9,80.4,92.3,90.5,62.8,98
15,"University of California, Los AngelesUnited StatesCoursesEnquireAdmissions Support",87.1,82.5,90.2,96.5,57.6,65.3
16,UCLUnited KingdomCoursesEnquireAdmissions Support,86.9,76.6,89.4,96.2,42.1,96.5
17,Columbia UniversityUnited StatesCoursesEnquireAdmissions Support,86.8,85.1,82.9,97.7,45,79.8
18,University of TorontoCanadaCoursesEnquireExplore,86,75.4,90.9,94.5,50,87.2
19,Cornell UniversityUnited StatesCoursesEnquireAdmissions Support,85.3,78.8,86.7,97.2,36.3,73.7
20,Duke UniversityUnited StatesCoursesEnquireAdmissions Support,84.8,80.7,80.4,96.9,99.7,65.5
21,Tsinghua UniversityChinaCoursesExplore,84.8,87.7,94.9,78.8,100,51.1
22,University of Michigan-Ann ArborUnited StatesCoursesEnquireAdmissions Support,84,79,86.9,95.4,47.2,59.6
23,Peking UniversityChinaCoursesExplore,83.9,89.6,91.3,75.4,96.3,61.2
24,Northwestern UniversityUnited StatesCoursesEnquireAdmissions Support,83.6,74.9,83.6,98.2,69.9,64.5
25,National University of SingaporeSingaporeCoursesExplore,83.5,75.9,90.8,81.5,77.8,94.8
26,New York UniversityUnited StatesCoursesEnquireAdmissions Support,81.9,76.1,80.6,96,37.3,69.6
27,London School of Economics and Political ScienceUnited KingdomCoursesEnquireAdmissions Support,81.4,68.5,82.5,94.3,34.1,92.8
28,Carnegie Mellon UniversityUnited StatesCoursesEnquireAdmissions Support,81,65.1,81.3,98.9,53.3,80.5
29,University of WashingtonUnited StatesCoursesEnquireAdmissions Support,80.4,69.8,80.5,98.7,45.6,60.9
30,University of EdinburghUnited KingdomCoursesEnquireAdmissions Support,79.4,67.2,74.7,96,38.7,94.6
31,University of MelbourneAustraliaCoursesEnquire,78.9,67.1,76.3,90.1,74.2,93.9
32,LMU MunichGermanyCoursesExplore,78.2,68.7,78.7,87.9,100,68.1
33,"University of California, San DiegoUnited StatesCoursesEnquireAdmissions Support",77.7,60.3,80.4,94.3,95.6,64.4
34,University of British ColumbiaCanadaCoursesEnquire,76.4,62.1,75.1,90,44.7,94.7
35,King’s College LondonUnited KingdomCoursesAdmissions Support,76.1,57.3,72.4,96.6,43.6,95.4
36,Karolinska InstituteSwedenCoursesVerify Documents,76,57.6,72.2,95.8,71.4,87.3
37,The University of TokyoJapanCourses,76,87.9,90.7,57.7,82.6,40.1
38,Georgia Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,75.8,59.5,76.8,91.1,65.8,78.9
39,University of Hong KongHong KongCoursesExplore,75.2,67.5,73.3,80.3,57.4,99
40,McGill UniversityCanadaCoursesEnquire,75.1,64.2,73.4,86.4,43.7,91.3
41,Technical University of MunichGermanyCoursesVerify Documents,74.8,63.8,73.6,85,100,74.4
42,Heidelberg UniversityGermanyCourses,74.3,67.5,61.7,96.6,56.9,68.4
43,École Polytechnique Fédérale de LausanneSwitzerlandCourses,74.1,63.9,66.7,85.8,73.3,98.5
44,University of Texas at AustinUnited StatesCoursesEnquireAdmissions Support,74,67.9,74.8,90.5,46.2,39.4
45,KU LeuvenBelgiumCoursesExplore,73.7,58.7,74.4,86.1,97.2,72.7
46,Paris Sciences et Lettres – PSL Research University ParisFranceCourses,73.6,71.2,73,75.9,61.7,80.6
47,"Nanyang Technological University, SingaporeSingaporeCoursesExplore",72.7,57.1,71.9,83,83.2,94
48,University of Illinois at Urbana-ChampaignUnited StatesCoursesEnquireAdmissions Support,72.3,62.5,79.1,81.3,49.5,55.1
49,University of Wisconsin-MadisonUnited StatesCoursesEnquireAdmissions Support,71.4,68.2,71.4,82.5,45,48.4
50,Washington University in St LouisUnited StatesCoursesExplore,71.1,61.2,58.7,99,40.4,59.1
