Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Year,Country
1,California Institute of Technology United States,"2,243",6.9,26%,33 : 67,95.2,95.6,97.6,99.8,97.8,64,2016,United States
2,University of Oxford United Kingdom,"19,919",11.6,34%,46:54:00,94.2,86.5,98.9,98.8,73.1,94.4,2016,United Kingdom
3,Stanford University United States,"15,596",7.8,22%,42:58:00,93.9,92.5,96.2,99.9,63.3,76.3,2016,United States
4,University of Cambridge United Kingdom,"18,812",11.8,34%,46:54:00,92.8,88.2,96.7,97,55,91.5,2016,United Kingdom
5,Massachusetts Institute of Technology United States,"11,074",9,33%,37 : 63,92,89.4,88.6,99.7,95.4,84,2016,United States
6,Harvard University United States,"20,152",8.9,25%,,91.6,83.6,99,99.8,45.2,77.2,2016,United States
7,Princeton University United States,"7,929",8.4,27%,45:55:00,90.1,85.1,91.9,99.3,52.1,78.5,2016,United States
8,Imperial College London United Kingdom,"15,060",11.7,51%,37 : 63,89.1,83.3,88.5,96.7,53.7,96,2016,United Kingdom
9,E T H Zurich Switzerland,"18,178",14.7,37%,31 : 69,88.3,77,95,91.1,80,97.9,2016,Switzerland
10,The University of Chicago United States,"14,221",6.9,20%,42:58:00,87.9,85.7,88.9,99.2,36.6,65,2016,United States
11,Johns Hopkins University United States,"15,128",3.6,23%,50:50:00,87.6,77.6,90.4,98.2,100,70,2016,United States
12,Yale University United States,"11,751",4.4,20%,50:50:00,87.4,86.5,87.8,97.2,43.3,64.3,2016,United States
13,"University of California, Berkeley United States","36,186",16.4,15%,50:50:00,87.2,80.4,91.1,99.7,47.9,61.9,2016,United States
14,U C L United Kingdom,"26,607",10.7,46%,56:44:00,87.1,78.1,91,94.2,40.5,94.4,2016,United Kingdom
15,Columbia University United States,"25,055",5.9,28%,,86.1,85.9,82.2,98.1,-,73.5,2016,United States
16,"University of California, Los Angeles United States","38,206",10.3,15%,52:48:00,85.8,80.8,88.6,98.5,47.9,56.4,2016,United States
17,University of Pennsylvania United States,"20,376",6.5,20%,51:49:00,85.2,82,86.9,98.6,47.9,49.5,2016,United States
18,Cornell University United States,"21,424",10.2,19%,48:52:00,84,77.9,86.1,97.2,33.7,63.9,2016,United States
19,University of Toronto Canada,"66,198",19.5,15%,,83.9,75.9,89.3,90.9,49.1,77.8,2016,Canada
20,Duke University United States,"15,172",4.8,17%,49:51:00,82.7,76,78,99,100,56.5,2016,United States
21,University of Michigan- Ann Arbor United States,"41,786",9,16%,48:52:00,82.4,76.8,85.2,94.4,56.3,53.7,2016,United States
22,Carnegie Mellon University United States,"11,885",13.1,35%,39 : 61,82.3,67.4,88.8,99.1,57.5,57.1,2016,United States
23,London School of Economics and Political Science United Kingdom,"9,233",12.1,70%,53:47:00,81.3,69.8,80.6,94.3,32.2,93.6,2016,United Kingdom
