Rank_x,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Rank_y,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Year
1,University of OxfordUnited KingdomCoursesEnquireAdmissions Support,"20,774",11.1,41%,46 : 54,1,95.6,91.3,99.6,98.0,68.7,96.4,2021
2,Stanford UniversityUnited StatesCoursesExplore,"16,223",7.4,23%,44 : 56,2,94.9,92.2,96.7,99.9,90.1,79.5,2021
3,Harvard UniversityUnited StatesCoursesEnquireAdmissions Support,"21,261",9.3,25%,49 : 51,3,94.8,94.4,98.8,99.4,46.8,77.7,2021
4,California Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,"2,238",6.3,33%,36 : 64,4,94.5,92.5,96.9,97.0,92.7,83.6,2021
5,Massachusetts Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,"11,276",8.4,34%,39 : 61,5,94.4,90.7,94.4,99.7,90.4,90.0,2021
6,University of CambridgeUnited KingdomCoursesEnquireAdmissions Support,"19,370",11.0,38%,47 : 53,6,94.0,90.3,99.2,95.6,52.1,95.7,2021
7,"University of California, BerkeleyUnited StatesCoursesEnquireAdmissions Support","39,918",19.8,17%,51 : 49,7,92.2,85.8,97.2,99.1,84.3,72.3,2021
8,Yale UniversityUnited StatesCoursesEnquireAdmissions Support,"12,910",6.0,20%,50 : 50,8,91.6,91.9,93.8,97.9,56.1,68.4,2021
9,Princeton UniversityUnited StatesCoursesEnquireAdmissions Support,"8,091",8.0,23%,46 : 54,9,91.5,88.8,92.5,98.9,58.0,80.2,2021
10,The University of ChicagoUnited StatesCoursesExplore,"14,292",5.9,31%,46 : 54,10,90.3,88.9,90.5,98.6,54.9,74.0,2021
11,Imperial College LondonUnited KingdomCoursesEnquireAdmissions Support,"17,176",11.6,58%,39 : 61,11,89.4,82.3,88.2,97.2,69.6,97.4,2021
12,Johns Hopkins UniversityUnited StatesCoursesEnquireAdmissions Support,"16,432",4.4,27%,52 : 48,12,89.2,81.6,91.8,97.7,93.4,73.9,2021
13,University of PennsylvaniaUnited StatesCoursesEnquireAdmissions Support,"20,771",6.4,21%,52 : 48,13,88.9,85.4,89.9,98.1,77.9,66.3,2021
14,ETH ZurichSwitzerlandCourses,"19,632",13.1,40%,32 : 68,14,87.9,80.4,92.3,90.5,62.8,98.0,2021
15,"University of California, Los AngelesUnited StatesCoursesEnquireAdmissions Support","41,673",10.0,17%,55 : 45,15,87.1,82.5,90.2,96.5,57.6,65.3,2021
16,UCLUnited KingdomCoursesEnquireAdmissions Support,"34,590",10.8,55%,57 : 43,16,86.9,76.6,89.4,96.2,42.1,96.5,2021
17,Columbia UniversityUnited StatesCoursesEnquireAdmissions Support,"27,384",5.7,39%,,17,86.8,85.1,82.9,97.7,45.0,79.8,2021
18,University of TorontoCanadaCoursesEnquireExplore,"74,502",20.0,22%,59 : 41,18,86.0,75.4,90.9,94.5,50.0,87.2,2021
19,Cornell UniversityUnited StatesCoursesEnquireAdmissions Support,"23,016",10.2,25%,50 : 50,19,85.3,78.8,86.7,97.2,36.3,73.7,2021
=20,Duke UniversityUnited StatesCoursesEnquireAdmissions Support,"15,489",4.3,21%,49 : 51,=20,84.8,80.7,80.4,96.9,99.7,65.5,2021
=20,Tsinghua UniversityChinaCoursesExplore,"37,484",11.6,13%,34 : 66,=20,84.8,87.7,94.9,78.8,100.0,51.1,2021
22,University of Michigan-Ann ArborUnited StatesCoursesEnquireAdmissions Support,"43,873",8.3,17%,50 : 50,22,84.0,79.0,86.9,95.4,47.2,59.6,2021
23,Peking UniversityChinaCoursesExplore,"38,583",11.1,16%,43 : 57,23,83.9,89.6,91.3,75.4,96.3,61.2,2021
24,Northwestern UniversityUnited StatesCoursesEnquireAdmissions Support,"18,529",13.0,19%,49 : 51,24,83.6,74.9,83.6,98.2,69.9,64.5,2021
25,National University of SingaporeSingaporeCoursesExplore,"30,943",18.0,26%,50 : 50,25,83.5,75.9,90.8,81.5,77.8,94.8,2021
26,New York UniversityUnited StatesCoursesEnquireAdmissions Support,"44,474",8.8,34%,57 : 43,26,81.9,76.1,80.6,96.0,37.3,69.6,2021
27,London School of Economics and Political ScienceUnited KingdomCoursesEnquireAdmissions Support,"10,660",12.0,72%,54 : 46,27,81.4,68.5,82.5,94.3,34.1,92.8,2021
28,Carnegie Mellon UniversityUnited StatesCoursesEnquireAdmissions Support,"14,058",13.7,48%,43 : 57,28,81.0,65.1,81.3,98.9,53.3,80.5,2021
29,University of WashingtonUnited StatesCoursesEnquireAdmissions Support,"46,258",10.7,17%,53 : 47,29,80.4,69.8,80.5,98.7,45.6,60.9,2021
30,University of EdinburghUnited KingdomCoursesEnquireAdmissions Support,"30,649",12.1,42%,60 : 40,30,79.4,67.2,74.7,96.0,38.7,94.6,2021
31,University of MelbourneAustraliaCoursesEnquire,"50,094",27.0,48%,57 : 43,31,78.9,67.1,76.3,90.1,74.2,93.9,2021
32,LMU MunichGermanyCoursesExplore,"34,249",33.6,17%,61 : 39,32,78.2,68.7,78.7,87.9,100.0,68.1,2021
33,"University of California, San DiegoUnited StatesCoursesEnquireAdmissions Support","34,232",12.0,30%,47 : 53,33,77.7,60.3,80.4,94.3,95.6,64.4,2021
34,University of British ColumbiaCanadaCoursesEnquire,"53,123",18.7,32%,55 : 45,34,76.4,62.1,75.1,90.0,44.7,94.7,2021
35,King’s College LondonUnited KingdomCoursesAdmissions Support,"27,400",12.4,46%,62 : 38,35,76.1,57.3,72.4,96.6,43.6,95.4,2021
=36,Karolinska InstituteSwedenCoursesVerify Documents,"7,696",8.8,26%,68 : 32,=36,76.0,57.6,72.2,95.8,71.4,87.3,2021
=36,The University of TokyoJapanCourses,"25,935",10.6,13%,,=36,76.0,87.9,90.7,57.7,82.6,40.1,2021
38,Georgia Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support,"26,043",23.6,27%,33 : 67,38,75.8,59.5,76.8,91.1,65.8,78.9,2021
39,University of Hong KongHong KongCoursesExplore,"18,135",18.2,43%,54 : 46,39,75.2,67.5,73.3,80.3,57.4,99.0,2021
40,McGill UniversityCanadaCoursesEnquire,"31,578",12.8,31%,59 : 41,40,75.1,64.2,73.4,86.4,43.7,91.3,2021
41,Technical University of MunichGermanyCoursesVerify Documents,"32,377",39.8,31%,36 : 64,41,74.8,63.8,73.6,85.0,100.0,74.4,2021
42,Heidelberg UniversityGermanyCourses,"20,020",14.5,18%,54 : 46,42,74.3,67.5,61.7,96.6,56.9,68.4,2021
43,École Polytechnique Fédérale de LausanneSwitzerlandCourses,"10,942",12.2,60%,29 : 71,43,74.1,63.9,66.7,85.8,73.3,98.5,2021
44,University of Texas at AustinUnited StatesCoursesEnquireAdmissions Support,"49,510",16.9,10%,52 : 48,44,74.0,67.9,74.8,90.5,46.2,39.4,2021
45,KU LeuvenBelgiumCoursesExplore,"45,617",36.1,15%,50 : 50,45,73.7,58.7,74.4,86.1,97.2,72.7,2021
46,Paris Sciences et Lettres – PSL Research University ParisFranceCourses,"20,701",14.7,24%,46 : 54,46,73.6,71.2,73.0,75.9,61.7,80.6,2021
47,"Nanyang Technological University, SingaporeSingaporeCoursesExplore","23,902",14.8,25%,48 : 52,47,72.7,57.1,71.9,83.0,83.2,94.0,2021
48,University of Illinois at Urbana-ChampaignUnited StatesCoursesEnquireAdmissions Support,"45,980",17.8,24%,48 : 52,48,72.3,62.5,79.1,81.3,49.5,55.1,2021
49,University of Wisconsin-MadisonUnited StatesCoursesEnquireAdmissions Support,"39,451",9.8,13%,,49,71.4,68.2,71.4,82.5,45.0,48.4,2021
50,Washington University in St LouisUnited StatesCoursesExplore,"13,693",7.5,21%,,50,71.1,61.2,58.7,99.0,40.4,59.1,2021
=51,University of ManchesterUnited KingdomCoursesEnquireExplore,"36,557",14.4,41%,53 : 47,=51,70.9,57.1,66.5,85.6,49.2,91.7,2021
=51,University of SydneyAustraliaCourses,"46,453",19.4,43%,58 : 42,=51,70.9,51.3,64.4,92.3,69.3,90.0,2021
53,University of Southern CaliforniaUnited StatesCoursesEnquireAdmissions Support,"41,953",13.0,23%,49 : 51,53,70.4,63.8,58.4,93.1,39.2,64.9,2021
=54,Boston UniversityUnited StatesCoursesEnquireAdmissions Support,"26,510",11.1,28%,59 : 41,=54,70.3,58.9,60.9,94.9,41.7,64.9,2021
=54,Kyoto UniversityJapanCourses,"22,935",9.3,11%,25 : 75,=54,70.3,77.9,79.9,60.8,74.6,37.8,2021
=56,Chinese University of Hong KongHong KongCoursesExplore,"18,675",19.3,33%,,=56,70.1,55.7,59.1,89.4,58.6,98.3,2021
=56,The Hong Kong University of Science and TechnologyHong KongCoursesExplore,"9,976",21.6,30%,,=56,70.1,52.1,63.0,88.9,63.6,97.4,2021
=56,University of North Carolina at Chapel HillUnited StatesCoursesEnquireAdmissions Support,"30,956",8.2,8%,58 : 42,=56,70.1,60.6,63.3,96.3,42.5,39.7,2021
59,Australian National UniversityAustraliaCoursesEnquire,"18,801",17.8,47%,53 : 47,59,69.8,48.5,68.3,88.4,43.0,96.2,2021
60,Seoul National UniversitySouth KoreaCourses,"26,757",15.1,11%,,60,69.7,72.4,73.8,68.8,97.8,37.4,2021
61,Brown UniversityUnited StatesCoursesEnquireAdmissions Support,"9,695",10.8,20%,,61,69.5,62.4,56.6,94.0,36.1,62.3,2021
=62,The University of QueenslandAustraliaCoursesExplore,"40,389",35.5,38%,55 : 45,=62,69.4,54.3,61.0,85.9,81.0,93.0,2021
=62,Wageningen University & ResearchNetherlandsCourses,"14,356",21.0,27%,54 : 46,=62,69.4,48.2,56.4,97.3,100.0,83.7,2021
=64,"University of California, DavisUnited StatesCoursesEnquireAdmissions Support","36,395",13.6,17%,58 : 42,=64,68.9,60.5,66.2,81.9,50.4,66.9,2021
=64,Monash UniversityAustraliaCoursesEnquire,"57,406",41.7,43%,57 : 43,=64,68.9,52.9,61.7,86.2,73.9,90.3,2021
66,University of AmsterdamNetherlandsCoursesExplore,"24,747",12.8,24%,57 : 43,66,68.8,49.1,62.2,92.8,39.9,87.4,2021
67,UNSW SydneyAustraliaCoursesExplore,"46,234",41.0,44%,47 : 53,67,68.2,50.9,62.0,85.3,66.8,94.7,2021
68,"University of California, Santa BarbaraUnited StatesCoursesEnquireAdmissions Support","24,780",28.2,18%,53 : 47,68,67.9,45.8,59.6,96.7,81.8,70.0,2021
69,McMaster UniversityCanadaCoursesExplore,"25,285",30.5,18%,55 : 45,69,67.5,46.7,53.1,95.8,99.5,83.8,2021
=70,Fudan UniversityChinaCourses,"32,597",11.2,13%,52 : 48,=70,66.7,65.9,65.6,73.3,67.1,47.7,2021
=70,Leiden UniversityNetherlandsCoursesExplore,"30,178",19.0,18%,59 : 41,=70,66.7,45.6,66.0,84.1,72.6,82.2,2021
72,Erasmus University RotterdamNetherlandsCoursesExplore,"26,453",26.8,22%,50 : 50,72,66.2,37.9,57.0,97.6,73.6,87.8,2021
=73,University of MontrealCanadaCoursesExplore,"36,774",20.2,21%,,=73,65.6,51.1,52.6,87.4,78.3,84.3,2021
=73,University of ZurichSwitzerlandCourses,"22,960",14.8,21%,57 : 43,=73,65.6,50.1,50.4,89.8,64.1,92.1,2021
=75,Charité - Universitätsmedizin BerlinGermanyCourses,"7,431",17.4,20%,65 : 35,=75,65.4,48.3,48.0,97.4,92.1,66.6,2021
=75,Utrecht UniversityNetherlandsCoursesExplore,"32,022",14.0,10%,58 : 42,=75,65.4,43.0,61.1,89.9,65.7,74.1,2021
77,University of WarwickUnited KingdomCoursesEnquireAdmissions Support,"21,777",13.3,41%,49 : 51,77,65.3,46.7,53.8,90.1,41.6,94.0,2021
=78,Delft University of TechnologyNetherlandsCoursesVerify Documents,"19,594",17.4,31%,30 : 70,=78,65.2,54.4,71.6,60.0,98.9,92.8,2021
=78,University of TübingenGermanyCoursesVerify Documents,"27,590",36.6,14%,58 : 42,=78,65.2,53.3,59.7,81.9,77.1,64.3,2021
=80,University of GroningenNetherlandsCoursesExplore,"28,392",23.9,23%,51 : 49,=80,65.1,41.2,56.2,92.6,69.8,85.1,2021
=80,Humboldt University of BerlinGermanyCourses,"33,388",56.3,18%,,=80,65.1,60.6,67.8,68.3,37.6,68.3,2021
=80,Ohio State University (Main campus)United StatesCoursesEnquire,"54,650",12.1,13%,50 : 50,=80,65.1,55.6,54.2,87.9,53.3,60.1,2021
83,University of FreiburgGermanyCourses,"14,878",32.5,21%,54 : 46,83,64.7,48.4,52.2,87.3,100.0,77.8,2021
84,University of CopenhagenDenmarkCourses,"30,746",4.2,17%,62 : 38,84,63.8,49.3,47.3,90.4,50.5,86.4,2021
=85,Emory UniversityUnited StatesCoursesEnquireAdmissions Support,"12,923",4.0,20%,59 : 41,=85,63.7,53.9,41.1,98.7,46.7,59.2,2021
=85,University of MinnesotaUnited StatesCoursesEnquire,"61,994",12.4,11%,53 : 47,=85,63.7,55.1,59.0,81.4,80.3,40.7,2021
=87,École PolytechniqueFranceCoursesExplore,"2,850",5.6,44%,23 : 77,=87,63.4,60.5,52.4,68.2,72.1,96.1,2021
=87,University of Science and Technology of ChinaChinaCoursesExplore,"16,434",7.2,5%,,=87,63.4,64.0,60.4,72.3,75.2,33.0,2021
=87,Sorbonne UniversityFranceCourses,"43,585",12.8,20%,58 : 42,=87,63.4,63.2,54.5,73.5,36.9,68.5,2021
90,"University of Maryland, College ParkUnited StatesCoursesEnquire","33,671",16.6,11%,48 : 52,90,63.1,47.4,58.8,90.2,38.9,42.9,2021
91,University of BristolUnited KingdomCoursesAdmissions Support,"22,981",14.5,28%,55 : 45,91,63.0,40.3,48.6,95.6,39.8,88.2,2021
=92,University of BaselSwitzerlandCourses,"9,229",12.3,30%,55 : 45,=92,62.9,44.0,41.4,91.7,99.7,97.2,2021
=92,University of GlasgowUnited KingdomCoursesExplore,"26,533",14.7,38%,59 : 41,=92,62.9,40.9,48.1,94.3,39.9,92.8,2021
=94,Purdue University West LafayetteUnited StatesCoursesEnquireAdmissions Support,"41,573",16.3,22%,43 : 57,=94,62.5,57.1,65.5,62.0,69.9,71.5,2021
=94,Zhejiang UniversityChinaCoursesExplore,"33,825",10.8,23%,23 : 77,=94,62.5,65.9,65.6,52.3,100.0,65.1,2021
96,Korea Advanced Institute of Science and Technology (KAIST)South KoreaCourses,"9,514",10.4,9%,20 : 80,96,62.4,64.4,68.1,57.9,100.0,36.6,2021
97,National Taiwan University (NTU)TaiwanCoursesExplore,"24,880",9.9,12%,43 : 57,97,62.3,57.1,66.7,66.9,69.5,44.8,2021
=98,"University of California, IrvineUnited StatesCoursesEnquireAdmissions Support","35,040",17.5,27%,52 : 48,=98,62.1,43.5,47.5,93.5,53.2,72.4,2021
=98,University of HelsinkiFinlandCourses,"22,137",15.9,5%,66 : 34,=98,62.1,42.7,58.3,88.9,37.0,56.1,2021
100,Shanghai Jiao Tong UniversityChinaCoursesExplore,"38,556",11.9,11%,39 : 61,100,61.8,60.8,70.0,53.7,100.0,52.0,2021
=101,Dartmouth CollegeUnited StatesCoursesEnquireAdmissions Support,"6,336",7.6,15%,48 : 52,=101,61.7,57.8,39.2,95.3,37.8,40.7,2021
=101,Sungkyunkwan University (SKKU)South KoreaCoursesExplore,"23,340",19.5,18%,43 : 57,=101,61.7,55.7,60.3,67.8,98.1,55.0,2021
=103,Ghent UniversityBelgiumCoursesVerify Documents,"37,587",36.1,11%,56 : 44,=103,61.6,46.6,57.4,79.6,79.9,60.7,2021
=103,Lund UniversitySwedenCoursesVerify Documents,"27,443",11.3,19%,55 : 45,=103,61.6,39.4,54.5,85.5,79.0,77.0,2021
105,Michigan State UniversityUnited StatesCoursesEnquire,"44,618",16.1,15%,51 : 49,105,61.5,53.1,55.1,77.9,36.4,63.6,2021
106,Aarhus UniversityDenmarkCourses,"26,318",13.8,10%,55 : 45,106,61.4,36.9,56.4,86.2,71.3,76.6,2021
=107,University of BirminghamUnited KingdomCoursesEnquire,"30,193",14.8,30%,57 : 43,=107,61.3,40.3,45.5,92.6,40.1,90.2,2021
=107,RWTH Aachen UniversityGermanyCourses,"45,256",58.4,23%,32 : 68,=107,61.3,55.8,62.4,62.9,98.0,60.1,2021
109,University of BernSwitzerlandCourses,"11,417",16.8,16%,57 : 43,109,61.2,44.9,42.8,87.4,84.7,87.1,2021
110,Queen Mary University of LondonUnited KingdomCourses,"19,365",13.6,45%,55 : 45,110,61.1,34.9,43.6,97.4,41.5,96.8,2021
=111,Nanjing UniversityChinaCourses,"37,475",17.5,9%,49 : 51,=111,61.0,52.4,54.0,75.2,91.3,56.3,2021
=111,Uppsala UniversitySwedenCoursesVerify Documents,"25,112",15.8,18%,58 : 42,=111,61.0,39.2,55.3,84.8,72.4,72.2,2021
=111,Vanderbilt UniversityUnited StatesCoursesEnquireAdmissions Support,"12,139",3.0,15%,54 : 46,=111,61.0,48.9,44.5,94.6,53.5,43.6,2021
=114,University of BonnGermanyCoursesVerify Documents,"37,439",70.2,13%,56 : 44,=114,60.9,48.6,49.8,84.9,52.7,61.7,2021
=114,Penn State (Main campus)United StatesCoursesEnquire,"46,682",11.0,15%,47 : 53,=114,60.9,52.6,58.8,76.9,36.9,46.9,2021
116,Vrije Universiteit AmsterdamNetherlandsCoursesVerify Documents,"25,443",18.0,13%,58 : 42,116,60.8,38.2,52.1,89.3,57.5,73.1,2021
