"Rank","NameCountry/Region","Overall","Teaching","Research","Citations","Industry Income","International Outlook"
"1","University of OxfordUnited KingdomCoursesEnquireAdmissions Support","95.0","89.6","99.1","99.2","62.5","94.5"
"2","California Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support","94.3","95.5","95.7","99.8","90.8","63.4"
"3","Stanford UniversityUnited StatesCoursesExplore","93.8","92.6","95.9","99.9","60.9","76.5"
"4","University of CambridgeUnited KingdomCoursesEnquireAdmissions Support","93.6","90.6","97.2","96.8","50.4","92.4"
"5","Massachusetts Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support","93.4","90.3","92.3","99.9","88.4","85.6"
"6","Harvard UniversityUnited StatesCoursesEnquireAdmissions Support","92.7","87.5","98.3","99.7","47.3","77.9"
"7","Princeton UniversityUnited StatesCoursesEnquireAdmissions Support","90.2","89.5","88.4","99.2","49.9","77.2"
"8","Imperial College LondonUnited KingdomCoursesEnquireAdmissions Support","90.0","86.4","86.6","97.3","67.5","96.5"
"9","ETH ZurichSwitzerlandCourses","89.3","81.5","93.7","92.5","63.7","98.1"
"=10","University of California, BerkeleyUnited StatesCoursesEnquireAdmissions Support","88.9","82.4","96.1","99.8","37.6","59.6"
"=10","The University of ChicagoUnited StatesCoursesExplore","88.9","88.1","89.1","99.1","37.7","67.8"
"12","Yale UniversityUnited StatesCoursesEnquireAdmissions Support","88.2","88.5","87.8","97.8","44.5","64.3"
"13","University of PennsylvaniaUnited StatesCoursesEnquireAdmissions Support","87.1","85.9","88.9","98.6","49.9","50.1"
"14","University of California, Los AngelesUnited StatesCoursesEnquireAdmissions Support","86.6","82.9","89.0","98.4","47.1","58.0"
"15","UCLUnited KingdomCoursesEnquireAdmissions Support","86.5","77.4","90.0","94.0","41.9","94.3"
"16","Columbia UniversityUnited StatesCoursesEnquireAdmissions Support","86.1","86.9","78.9","98.6","44.9","75.3"
"17","Johns Hopkins UniversityUnited StatesCoursesEnquireAdmissions Support","85.9","77.4","84.3","98.4","100.0","71.1"
"18","Duke UniversityUnited StatesCoursesEnquireAdmissions Support","84.7","80.7","80.0","98.8","100.0","58.2"
"19","Cornell UniversityUnited StatesCoursesEnquireAdmissions Support","84.6","79.7","86.5","97.2","36.0","62.2"
"20","Northwestern UniversityUnited StatesCoursesEnquireAdmissions Support","83.7","75.8","85.0","97.0","85.8","56.1"
"21","University of Michigan-Ann ArborUnited StatesCoursesEnquireAdmissions Support","83.6","79.4","86.1","95.8","43.9","54.6"
"22","University of TorontoCanadaCoursesEnquireExplore","83.0","74.6","86.3","91.9","48.8","78.3"
"23","Carnegie Mellon UniversityUnited StatesCoursesEnquireAdmissions Support","81.8","70.2","84.0","99.3","51.8","59.6"
"24","National University of SingaporeSingaporeCoursesExplore","81.7","76.7","86.9","79.7","61.3","96.0"
"=25","London School of Economics and Political ScienceUnited KingdomCoursesEnquireAdmissions Support","80.2","70.8","74.7","96.3","34.8","91.0"
"=25","University of WashingtonUnited StatesCoursesEnquireAdmissions Support","80.2","70.2","80.4","98.8","49.8","55.0"
"27","University of EdinburghUnited KingdomCoursesEnquireAdmissions Support","79.2","67.5","74.7","96.0","35.0","91.5"
"28","Karolinska InstituteSwedenCoursesVerify Documents","77.6","62.1","76.0","95.9","72.1","74.2"
"29","Peking UniversityChinaCoursesExplore","77.2","84.6","80.3","71.6","100.0","50.3"
"=30","LMU MunichGermanyCoursesExplore","76.8","70.5","73.4","87.4","100.0","65.4"
"=30","École Polytechnique Fédérale de LausanneSwitzerlandCourses","76.8","62.9","66.1","96.5","69.8","98.6"
"32","New York UniversityUnited StatesCoursesEnquireAdmissions Support","76.7","75.1","68.8","95.3","33.6","54.3"
