"Rank","NameCountry/Region","No. of FTE Students","No. of students per staff","International Students","Female:Male Ratio"
"1","University of OxfordUnited KingdomCoursesEnquireAdmissions Support","20,409","11.2","38%","46 : 54"
"2","University of CambridgeUnited KingdomCoursesEnquireAdmissions Support","18,389","10.9","35%","45 : 55"
"=3","California Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support","2,209","6.5","27%","31 : 69"
"=3","Stanford UniversityUnited StatesCoursesExplore","15,845","7.5","22%","42 : 58"
"5","Massachusetts Institute of TechnologyUnited StatesCoursesEnquireAdmissions Support","11,177","8.7","34%","37 : 63"
"6","Harvard UniversityUnited StatesCoursesEnquireAdmissions Support","20,326","8.9","26%","n/a"
"7","Princeton UniversityUnited StatesCoursesEnquireAdmissions Support","7,955","8.3","24%","45 : 55"
"8","Imperial College LondonUnited KingdomCoursesEnquireAdmissions Support","15,857","11.4","55%","37 : 63"
"9","The University of ChicagoUnited StatesCoursesExplore","13,525","6.2","25%","44 : 56"
"=10","ETH ZurichSwitzerlandCourses","19,233","14.6","38%","31 : 69"
"=10","University of PennsylvaniaUnited StatesCoursesEnquireAdmissions Support","20,361","6.5","20%","50 : 50"
"12","Yale UniversityUnited StatesCoursesEnquireAdmissions Support","12,155","4.3","21%","49 : 51"
"13","Johns Hopkins UniversityUnited StatesCoursesEnquireAdmissions Support","15,498","4.3","24%","52 : 48"
"14","Columbia UniversityUnited StatesCoursesEnquireAdmissions Support","26,587","6.1","32%","n/a"
"15","University of California, Los AngelesUnited StatesCoursesEnquireAdmissions Support","39,279","9.6","17%","53 : 47"
"16","UCLUnited KingdomCoursesEnquireAdmissions Support","30,304","10.5","49%","56 : 44"
"17","Duke UniversityUnited StatesCoursesEnquireAdmissions Support","15,256","4.5","22%","49 : 51"
"18","University of California, BerkeleyUnited StatesCoursesEnquireAdmissions Support","36,182","13.1","17%","52 : 48"
"19","Cornell UniversityUnited StatesCoursesEnquireAdmissions Support","21,850","9.8","24%","49 : 51"
"20","Northwestern UniversityUnited StatesCoursesEnquireAdmissions Support","17,466","12.8","18%","48 : 52"
"21","University of Michigan-Ann ArborUnited StatesCoursesEnquireAdmissions Support","41,818","8.6","16%","48 : 52"
"=22","National University of SingaporeSingaporeCoursesExplore","30,602","17.0","30%","51 : 49"
"=22","University of TorontoCanadaCoursesEnquireExplore","69,427","18.7","17%","n/a"
"24","Carnegie Mellon UniversityUnited StatesCoursesEnquireAdmissions Support","12,676","13.5","45%","39 : 61"
"=25","London School of Economics and Political ScienceUnited KingdomCoursesEnquireAdmissions Support","10,065","12.2","71%","52 : 48"
"=25","University of WashingtonUnited StatesCoursesEnquireAdmissions Support","44,945","11.4","16%","52 : 48"
"=27","University of EdinburghUnited KingdomCoursesEnquireAdmissions Support","26,759","12.5","40%","59 : 41"
"=27","New York UniversityUnited StatesCoursesEnquireAdmissions Support","43,860","9.6","26%","56 : 44"
